,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.0,1,480,Rodent__order,taxongroup_comment
2,acl:relcl>advmod> ...,0,0.002,1,480,Rodent__order,taxongroup_comment
4,acl:relcl>nsubj> that,0,0.002,1,480,Rodent__order,taxongroup_comment
22,amod> ...,0,-0.007,8,480,Rodent__order,taxongroup_comment
23,amod> Eurasian,0,0.005,2,480,Rodent__order,taxongroup_comment
24,amod> eastern,0,0.001,1,480,Rodent__order,taxongroup_comment
25,amod> eusocial,0,0.001,1,480,Rodent__order,taxongroup_comment
27,amod> naked,0,0.0,1,480,Rodent__order,taxongroup_comment
28,amod> native,0,0.001,1,480,Rodent__order,taxongroup_comment
30,amod> red,0,0.026,22,480,Rodent__order,taxongroup_comment
40,amod>advmod> ...,0,-0.001,1,480,Rodent__order,taxongroup_comment
45,amod>obl> America,0,0.003,1,480,Rodent__order,taxongroup_comment
47,amod>obl>case> to,0,0.003,1,480,Rodent__order,taxongroup_comment
59,appos> vulgaris,0,0.003,1,480,Rodent__order,taxongroup_comment
61,appos>amod> Sciurus,0,0.003,1,480,Rodent__order,taxongroup_comment
70,case> ...,0,0.0,2,480,Rodent__order,taxongroup_comment
71,case> as,0,0.002,1,480,Rodent__order,taxongroup_comment
72,case> between,0,0.003,1,480,Rodent__order,taxongroup_comment
74,case> for,0,0.0,1,480,Rodent__order,taxongroup_comment
78,case> of,0,0.009,9,480,Rodent__order,taxongroup_comment
80,cc> ...,0,0.005,2,480,Rodent__order,taxongroup_comment
82,cc> and,0,0.016,7,480,Rodent__order,taxongroup_comment
83,cc> or,0,0.006,2,480,Rodent__order,taxongroup_comment
123,compound> ...,0,-0.0,5,480,Rodent__order,taxongroup_comment
125,compound> Damaraland,0,0.008,5,480,Rodent__order,taxongroup_comment
127,compound> Silvery,0,0.003,1,480,Rodent__order,taxongroup_comment
128,compound> dune,0,0.003,1,480,Rodent__order,taxongroup_comment
129,compound> grey,0,0.002,3,480,Rodent__order,taxongroup_comment
130,compound> mole,0,0.007,9,480,Rodent__order,taxongroup_comment
132,compound>amod> ...,0,0.002,1,480,Rodent__order,taxongroup_comment
133,compound>appos> ...,0,0.002,1,480,Rodent__order,taxongroup_comment
134,compound>compound> ...,0,0.004,4,480,Rodent__order,taxongroup_comment
135,compound>compound> Fukomy,0,0.003,1,480,Rodent__order,taxongroup_comment
137,compound>compound>compound> ...,0,0.0,1,480,Rodent__order,taxongroup_comment
139,compound>compound>compound> rat,0,0.002,1,480,Rodent__order,taxongroup_comment
142,conj< ...,0,0.007,6,480,Rodent__order,taxongroup_comment
145,conj< rat,0,0.023,6,480,Rodent__order,taxongroup_comment
146,conj< squirrel,0,-0.0,1,480,Rodent__order,taxongroup_comment
147,conj<amod> ...,0,0.004,2,480,Rodent__order,taxongroup_comment
150,conj<amod> naked,0,0.006,2,480,Rodent__order,taxongroup_comment
151,conj<appos<compound> ...,0,0.012,3,480,Rodent__order,taxongroup_comment
152,conj<appos> ...,0,0.003,1,480,Rodent__order,taxongroup_comment
153,conj<appos> damarensis,0,0.003,1,480,Rodent__order,taxongroup_comment
156,conj<case> ...,0,0.01,3,480,Rodent__order,taxongroup_comment
157,conj<case> by,0,0.002,1,480,Rodent__order,taxongroup_comment
159,conj<compound> ...,0,0.02,5,480,Rodent__order,taxongroup_comment
160,conj<compound> Damaraland,0,0.008,2,480,Rodent__order,taxongroup_comment
162,conj<compound> mole,0,0.023,6,480,Rodent__order,taxongroup_comment
163,conj<compound>compound> ...,0,0.012,3,480,Rodent__order,taxongroup_comment
170,conj<conj> ...,0,-0.004,2,480,Rodent__order,taxongroup_comment
192,conj<conj>cc> or,0,0.003,1,480,Rodent__order,taxongroup_comment
202,conj<conj>flat> ...,0,0.005,2,480,Rodent__order,taxongroup_comment
209,conj<det> ...,0,0.004,1,480,Rodent__order,taxongroup_comment
210,conj<det> the,0,0.017,5,480,Rodent__order,taxongroup_comment
211,conj<nmod:poss> ...,0,0.003,1,480,Rodent__order,taxongroup_comment
213,conj<nmod:poss>case> 's,0,0.001,1,480,Rodent__order,taxongroup_comment
214,conj<nmod< ...,0,0.005,2,480,Rodent__order,taxongroup_comment
219,conj<nsubj:pass< ...,0,0.006,2,480,Rodent__order,taxongroup_comment
220,conj<nsubj:pass<aux:pass> be,0,0.006,2,480,Rodent__order,taxongroup_comment
221,conj<nsubj:pass<obl> ...,0,0.024,6,480,Rodent__order,taxongroup_comment
222,conj<nsubj< ...,0,0.012,3,480,Rodent__order,taxongroup_comment
224,conj<nsubj<amod> ...,0,0.012,3,480,Rodent__order,taxongroup_comment
226,conj<nsubj<cop> be,0,0.012,3,480,Rodent__order,taxongroup_comment
227,conj<nsubj<det> ...,0,0.004,1,480,Rodent__order,taxongroup_comment
228,conj<nsubj<det> a,0,0.008,2,480,Rodent__order,taxongroup_comment
253,conj<obl< ...,0,0.005,2,480,Rodent__order,taxongroup_comment
295,det> a,0,-0.002,1,480,Rodent__order,taxongroup_comment
297,det> the,0,0.036,24,480,Rodent__order,taxongroup_comment
308,nmod:poss> ...,0,0.004,3,480,Rodent__order,taxongroup_comment
309,nmod:poss>case> 's,0,0.004,3,480,Rodent__order,taxongroup_comment
311,nmod< ...,0,-0.002,3,480,Rodent__order,taxongroup_comment
318,nmod< species,0,0.006,2,480,Rodent__order,taxongroup_comment
320,nmod< subspecy,0,0.008,2,480,Rodent__order,taxongroup_comment
322,nmod<amod> ...,0,0.002,3,480,Rodent__order,taxongroup_comment
323,nmod<case> ...,0,0.0,1,480,Rodent__order,taxongroup_comment
333,nmod<conj> ...,0,-0.002,1,480,Rodent__order,taxongroup_comment
336,nmod<conj>cc> ...,0,0.004,1,480,Rodent__order,taxongroup_comment
338,nmod<cop> be,0,0.005,2,480,Rodent__order,taxongroup_comment
339,nmod<det> a,0,0.003,2,480,Rodent__order,taxongroup_comment
352,nmod<nsubj< be,0,0.008,2,480,Rodent__order,taxongroup_comment
361,nmod<nsubj<obl> ...,0,0.0,1,480,Rodent__order,taxongroup_comment
362,nmod<nsubj> ...,0,0.005,2,480,Rodent__order,taxongroup_comment
364,nmod<nummod> ...,0,0.008,3,480,Rodent__order,taxongroup_comment
365,nmod<obj< ...,0,0.001,2,480,Rodent__order,taxongroup_comment
367,nmod<obj<mark> ...,0,0.003,1,480,Rodent__order,taxongroup_comment
368,nmod<obj<mark> to,0,0.002,1,480,Rodent__order,taxongroup_comment
370,nmod<obj<xcomp< ...,0,0.001,1,480,Rodent__order,taxongroup_comment
385,nmod<obl>amod> ...,0,0.006,2,480,Rodent__order,taxongroup_comment
386,nmod<obl>case> ...,0,0.006,2,480,Rodent__order,taxongroup_comment
387,nmod<obl>conj> ...,0,0.0,1,480,Rodent__order,taxongroup_comment
389,nmod> ...,0,-0.003,1,480,Rodent__order,taxongroup_comment
402,nmod>case> of,0,0.0,1,480,Rodent__order,taxongroup_comment
452,nsubj< ...,0,0.034,17,480,Rodent__order,taxongroup_comment
453,nsubj< active,0,0.003,1,480,Rodent__order,taxongroup_comment
454,nsubj< eat,0,0.006,2,480,Rodent__order,taxongroup_comment
455,nsubj< have,0,0.002,1,480,Rodent__order,taxongroup_comment
459,nsubj<acl> ...,0,0.001,1,480,Rodent__order,taxongroup_comment
460,nsubj<acl>obl> ...,0,0.002,1,480,Rodent__order,taxongroup_comment
461,nsubj<advcl< ...,0,0.016,4,480,Rodent__order,taxongroup_comment
462,nsubj<advcl> ...,0,0.017,6,480,Rodent__order,taxongroup_comment
463,nsubj<advcl>advmod> ...,0,0.003,1,480,Rodent__order,taxongroup_comment
464,nsubj<advcl>advmod> not,0,0.003,1,480,Rodent__order,taxongroup_comment
465,nsubj<advcl>mark> ...,0,0.004,2,480,Rodent__order,taxongroup_comment
466,nsubj<advcl>mark> although,0,0.003,1,480,Rodent__order,taxongroup_comment
467,nsubj<advcl>nsubj> ...,0,0.002,1,480,Rodent__order,taxongroup_comment
468,nsubj<advcl>obj> ...,0,0.009,3,480,Rodent__order,taxongroup_comment
469,nsubj<advcl>obl> ...,0,0.003,1,480,Rodent__order,taxongroup_comment
470,nsubj<advcl>obl> coat,0,0.008,2,480,Rodent__order,taxongroup_comment
471,nsubj<advmod> ...,0,0.03,10,480,Rodent__order,taxongroup_comment
472,nsubj<advmod> also,0,0.002,1,480,Rodent__order,taxongroup_comment
473,nsubj<advmod> not,0,0.004,2,480,Rodent__order,taxongroup_comment
479,nsubj<appos> ...,0,0.01,3,480,Rodent__order,taxongroup_comment
482,nsubj<aux> can,0,0.004,2,480,Rodent__order,taxongroup_comment
483,nsubj<aux> have,0,0.002,1,480,Rodent__order,taxongroup_comment
484,nsubj<aux> may,0,0.005,2,480,Rodent__order,taxongroup_comment
485,nsubj<ccomp< ...,0,0.016,4,480,Rodent__order,taxongroup_comment
486,nsubj<ccomp<nsubj> ...,0,0.012,3,480,Rodent__order,taxongroup_comment
489,nsubj<conj> ...,0,-0.001,2,480,Rodent__order,taxongroup_comment
497,nsubj<conj>cc> and,0,-0.001,1,480,Rodent__order,taxongroup_comment
