feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
cc> and,0.886,0.003,0.655,0.078,4,Snake__suborder,location_comment
nmod< ...,0.88,0.004,0.873,0.005,9,Snake__suborder,location_comment
nmod<case> of,0.867,0.005,0.764,0.027,3,Snake__suborder,location_comment
conj< ...,0.854,0.007,0.655,0.078,7,Snake__suborder,location_comment
nmod> ...,0.85,0.007,0.546,0.162,5,Snake__suborder,location_comment
conj<case> in,0.846,0.008,0.655,0.078,3,Snake__suborder,location_comment
conj< grassland,0.843,0.009,0.546,0.162,3,Snake__suborder,location_comment
cc> ...,0.841,0.009,0.577,0.134,1,Snake__suborder,location_comment
compound<conj> ...,0.837,0.01,0.577,0.134,3,Snake__suborder,location_comment
conj<case> include,0.836,0.01,0.481,0.227,6,Snake__suborder,location_comment
conj<case> ...,0.814,0.014,0.577,0.134,1,Snake__suborder,location_comment
conj<nmod< ...,0.797,0.018,0.764,0.027,5,Snake__suborder,location_comment
nmod<det> the,0.768,0.026,0.756,0.03,2,Snake__suborder,location_comment
compound<det> ...,0.767,0.026,0.577,0.134,1,Snake__suborder,location_comment
conj>cc> and,0.767,0.026,0.309,0.457,6,Snake__suborder,location_comment
obl<nsubj> it,0.766,0.027,0.577,0.134,2,Snake__suborder,location_comment
obl<obl> one,0.745,0.034,0.577,0.134,2,Snake__suborder,location_comment
nmod>case> in,0.741,0.036,0.577,0.134,2,Snake__suborder,location_comment
obl<obl>case> in,0.728,0.041,0.733,0.039,7,Snake__suborder,location_comment
nmod<amod> ...,0.722,0.043,0.481,0.227,7,Snake__suborder,location_comment
compound<conj>amod> ...,0.72,0.044,0.577,0.134,3,Snake__suborder,location_comment
compound<obl< ...,-0.718,0.045,-0.764,0.027,3,Snake__suborder,location_comment
conj<conj> ...,0.718,0.045,0.862,0.006,24,Snake__suborder,location_comment
case> of,0.717,0.045,0.866,0.005,6,Snake__suborder,location_comment
nmod>case> of,0.703,0.052,0.577,0.134,2,Snake__suborder,location_comment
conj<nmod<amod> ...,0.697,0.055,0.577,0.134,1,Snake__suborder,location_comment
obl<advcl>mark> ...,0.686,0.061,0.546,0.162,3,Snake__suborder,location_comment
conj<nmod<amod> wide,0.673,0.067,0.577,0.134,2,Snake__suborder,location_comment
obl<nsubj:pass> ...,0.672,0.068,0.577,0.134,3,Snake__suborder,location_comment
obj< ...,0.665,0.072,0.218,0.604,3,Snake__suborder,location_comment
nmod<case> ...,0.663,0.073,0.63,0.094,2,Snake__suborder,location_comment
obl<mark> to,0.636,0.09,0.63,0.094,2,Snake__suborder,location_comment
obl<obl>nmod> name,0.63,0.094,0.577,0.134,2,Snake__suborder,location_comment
conj<nmod<det> ...,-0.627,0.096,-0.577,0.134,1,Snake__suborder,location_comment
det> the,0.624,0.098,0.472,0.237,7,Snake__suborder,location_comment
obl<nsubj:pass> it,0.62,0.101,0.577,0.134,3,Snake__suborder,location_comment
compound<amod> ...,0.616,0.104,0.592,0.122,5,Snake__suborder,location_comment
nmod<nmod> ...,0.613,0.106,0.577,0.134,3,Snake__suborder,location_comment
obl< ...,0.609,0.109,0.764,0.027,10,Snake__suborder,location_comment
amod> tropical,0.608,0.11,0.791,0.019,6,Snake__suborder,location_comment
conj<nmod<conj> woodland,0.605,0.112,0.577,0.134,2,Snake__suborder,location_comment
nmod>case> ...,-0.596,0.119,-0.577,0.134,1,Snake__suborder,location_comment
obl< live,0.583,0.13,0.655,0.078,3,Snake__suborder,location_comment
obl<nsubj> ...,0.578,0.133,0.63,0.094,2,Snake__suborder,location_comment
conj<nmod<det> a,-0.577,0.135,-0.546,0.162,3,Snake__suborder,location_comment
obl<advcl> ...,-0.555,0.153,-0.504,0.203,4,Snake__suborder,location_comment
conj<nmod<conj> forest,0.554,0.154,0.577,0.134,2,Snake__suborder,location_comment
obl< find,0.551,0.157,0.655,0.078,6,Snake__suborder,location_comment
case> ...,0.545,0.162,0.514,0.192,7,Snake__suborder,location_comment
obl<obl>conj> snake,0.543,0.164,0.412,0.31,2,Snake__suborder,location_comment
conj<nmod< range,0.539,0.168,0.577,0.134,2,Snake__suborder,location_comment
nmod<det> ...,0.527,0.18,0.577,0.134,1,Snake__suborder,location_comment
case> in,0.517,0.189,0.483,0.225,15,Snake__suborder,location_comment
conj> ...,0.517,0.19,0.674,0.067,11,Snake__suborder,location_comment
compound< ...,0.509,0.198,0.733,0.039,6,Snake__suborder,location_comment
obl<obl>case> ...,0.498,0.209,0.577,0.134,3,Snake__suborder,location_comment
obl<obl> ...,0.498,0.209,0.514,0.192,9,Snake__suborder,location_comment
obl<obl>conj> ...,0.496,0.211,0.412,0.31,1,Snake__suborder,location_comment
case> within,0.49,0.218,0.577,0.134,2,Snake__suborder,location_comment
conj<nmod<nmod> habitat,0.483,0.226,0.327,0.429,3,Snake__suborder,location_comment
conj> stream,-0.464,0.247,-0.378,0.356,2,Snake__suborder,location_comment
compound< snake,0.462,0.25,0.733,0.039,5,Snake__suborder,location_comment
appos> ...,0.459,0.253,0.412,0.31,3,Snake__suborder,location_comment
compound< habitats,0.457,0.255,0.504,0.203,2,Snake__suborder,location_comment
obj<nsubj> ...,0.449,0.264,0.109,0.797,3,Snake__suborder,location_comment
nmod<nmod<det> a,-0.446,0.268,-0.252,0.547,2,Snake__suborder,location_comment
conj<conj>nmod> ...,0.442,0.273,0.282,0.499,3,Snake__suborder,location_comment
conj< forests,0.415,0.306,0.126,0.766,2,Snake__suborder,location_comment
nmod<nmod< ...,0.415,0.307,0.405,0.319,4,Snake__suborder,location_comment
conj<nmod<case> in,0.386,0.345,0.452,0.261,3,Snake__suborder,location_comment
compound<det> the,0.372,0.364,0.592,0.122,6,Snake__suborder,location_comment
nsubj<conj>nmod> ...,-0.368,0.369,-0.412,0.31,3,Snake__suborder,location_comment
conj<nmod<conj> ...,0.368,0.369,0.412,0.31,2,Snake__suborder,location_comment
obl<obl>case> despite,0.367,0.371,0.412,0.31,2,Snake__suborder,location_comment
conj<compound> ...,0.353,0.391,0.218,0.604,3,Snake__suborder,location_comment
conj<conj>amod> rocky,-0.327,0.43,-0.289,0.488,4,Snake__suborder,location_comment
