feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj< species,0.971,0.0,0.577,0.134,2,Snake__suborder,taxongroup_comment
nmod< those,0.954,0.0,0.577,0.134,2,Snake__suborder,taxongroup_comment
nmod< snake,0.941,0.0,0.577,0.134,3,Snake__suborder,taxongroup_comment
nmod< ...,0.918,0.001,0.464,0.247,18,Snake__suborder,taxongroup_comment
conj< python,0.914,0.001,0.327,0.429,4,Snake__suborder,taxongroup_comment
conj< krait,0.911,0.002,0.577,0.134,2,Snake__suborder,taxongroup_comment
case> such,0.911,0.002,0.764,0.027,3,Snake__suborder,taxongroup_comment
case> like,0.892,0.003,0.655,0.078,3,Snake__suborder,taxongroup_comment
conj<compound> ...,0.889,0.003,0.764,0.027,3,Snake__suborder,taxongroup_comment
conj> snake,0.887,0.003,0.436,0.28,11,Snake__suborder,taxongroup_comment
appos<appos> snake,-0.879,0.004,-0.756,0.03,2,Snake__suborder,taxongroup_comment
conj<obj< ...,-0.877,0.004,-0.866,0.005,5,Snake__suborder,taxongroup_comment
amod> large,0.867,0.005,0.764,0.027,5,Snake__suborder,taxongroup_comment
conj<case> to,0.867,0.005,0.756,0.03,2,Snake__suborder,taxongroup_comment
conj<case> by,0.866,0.005,0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj<obl>case> ...,0.861,0.006,0.546,0.162,6,Snake__suborder,taxongroup_comment
conj<case> such,0.855,0.007,0.577,0.134,3,Snake__suborder,taxongroup_comment
conj<case> as,0.855,0.007,0.577,0.134,3,Snake__suborder,taxongroup_comment
nmod> ...,0.848,0.008,0.764,0.027,9,Snake__suborder,taxongroup_comment
conj<conj>amod> reticulate,0.848,0.008,0.764,0.027,7,Snake__suborder,taxongroup_comment
conj< snake,0.847,0.008,0.913,0.002,17,Snake__suborder,taxongroup_comment
nsubj:pass<obl> world,0.845,0.008,0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj<obl>det> a,0.84,0.009,0.577,0.134,2,Snake__suborder,taxongroup_comment
case> of,0.839,0.009,0.479,0.23,24,Snake__suborder,taxongroup_comment
obl<nmod>conj> ...,0.839,0.009,0.577,0.134,3,Snake__suborder,taxongroup_comment
nmod< species,0.839,0.009,0.709,0.049,6,Snake__suborder,taxongroup_comment
nsubj< range,0.838,0.009,0.577,0.134,2,Snake__suborder,taxongroup_comment
case> 's,0.837,0.01,0.109,0.797,7,Snake__suborder,taxongroup_comment
nmod>case> with,0.822,0.012,0.756,0.03,2,Snake__suborder,taxongroup_comment
conj<det> a,0.82,0.013,0.546,0.162,5,Snake__suborder,taxongroup_comment
amod> ...,0.816,0.013,0.561,0.148,51,Snake__suborder,taxongroup_comment
cc> and,0.815,0.014,0.368,0.369,18,Snake__suborder,taxongroup_comment
nsubj<advmod> not,0.815,0.014,0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj:pass<obl> ...,0.815,0.014,0.577,0.134,4,Snake__suborder,taxongroup_comment
obj<advmod> ...,0.815,0.014,0.866,0.005,4,Snake__suborder,taxongroup_comment
conj<compound> ball,0.808,0.015,0.577,0.134,2,Snake__suborder,taxongroup_comment
conj<conj> one,0.807,0.015,0.577,0.134,5,Snake__suborder,taxongroup_comment
nsubj<advmod> ...,0.805,0.016,0.577,0.134,5,Snake__suborder,taxongroup_comment
compound<det> ...,0.804,0.016,0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj<obl>case> in,0.803,0.017,0.577,0.134,2,Snake__suborder,taxongroup_comment
conj>cc> or,0.797,0.018,0.756,0.03,2,Snake__suborder,taxongroup_comment
conj<nmod>det> the,0.794,0.019,0.577,0.134,10,Snake__suborder,taxongroup_comment
cc> or,0.79,0.02,0.577,0.134,4,Snake__suborder,taxongroup_comment
nsubj<nmod>amod> ...,0.782,0.022,0.546,0.162,3,Snake__suborder,taxongroup_comment
nmod<amod> largest,0.78,0.022,0.577,0.134,2,Snake__suborder,taxongroup_comment
nmod<amod> ...,0.774,0.024,0.546,0.162,17,Snake__suborder,taxongroup_comment
nsubj< ...,0.771,0.025,0.358,0.384,25,Snake__suborder,taxongroup_comment
nmod<nsubj>compound> ...,-0.77,0.025,-0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj<obl>det> the,0.77,0.026,0.577,0.134,4,Snake__suborder,taxongroup_comment
conj<conj> lizard,0.759,0.029,0.577,0.134,5,Snake__suborder,taxongroup_comment
amod>obl:npmod> yellow,0.754,0.031,0.756,0.03,2,Snake__suborder,taxongroup_comment
conj>amod> ...,0.753,0.031,0.319,0.441,10,Snake__suborder,taxongroup_comment
conj<compound> grass,0.752,0.031,0.577,0.134,3,Snake__suborder,taxongroup_comment
compound<amod> ...,0.749,0.032,0.655,0.078,3,Snake__suborder,taxongroup_comment
conj>compound> ...,0.746,0.033,0.866,0.005,6,Snake__suborder,taxongroup_comment
conj<conj> python,0.741,0.035,0.245,0.558,26,Snake__suborder,taxongroup_comment
conj<conj>amod> Burmese,0.737,0.037,0.577,0.134,4,Snake__suborder,taxongroup_comment
nsubj<det> ...,0.733,0.038,0.577,0.134,1,Snake__suborder,taxongroup_comment
conj<det> the,0.732,0.039,0.109,0.797,11,Snake__suborder,taxongroup_comment
appos>compound> ...,0.729,0.04,0.764,0.027,5,Snake__suborder,taxongroup_comment
conj<conj> specimen,0.727,0.041,0.577,0.134,5,Snake__suborder,taxongroup_comment
conj<amod> ...,0.723,0.043,0.447,0.267,11,Snake__suborder,taxongroup_comment
nsubj:pass< keep,0.72,0.044,0.577,0.134,2,Snake__suborder,taxongroup_comment
conj<compound> sea,0.72,0.044,0.577,0.134,2,Snake__suborder,taxongroup_comment
nsubj<cc> but,0.716,0.046,0.756,0.03,2,Snake__suborder,taxongroup_comment
nmod>case> ...,0.716,0.046,0.733,0.039,3,Snake__suborder,taxongroup_comment
nmod>case> in,0.716,0.046,0.577,0.134,6,Snake__suborder,taxongroup_comment
det> the,0.711,0.048,0.587,0.126,41,Snake__suborder,taxongroup_comment
conj< name,0.711,0.048,0.327,0.429,3,Snake__suborder,taxongroup_comment
nsubj:pass<conj> ...,0.709,0.049,0.655,0.078,3,Snake__suborder,taxongroup_comment
conj>amod> indian,0.707,0.05,0.63,0.094,2,Snake__suborder,taxongroup_comment
nsubj:pass<advmod> ...,0.704,0.051,0.577,0.134,5,Snake__suborder,taxongroup_comment
