,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Aca764f_3_snake-7,snake,Snake#suborder,compound<nmod>case>,in,ADP,9,compound<nmod>case> in,0.5893980598775644,0.06340140052115284,Snake__suborder,free_topic,3,43
10,Ame-c3c3_22_pythons-11,pythons,Python_genus#genus,conj>,boa,NOUN,13,conj> ...,-0.37252550412271646,0.1304421625319213,Snake__suborder,free_topic,3,43
4,Amp-436a_193_snake-11,snake,Snake#suborder,conj>,worm,NOUN,14,conj> ...,-0.4261165581712395,0.24161339574832277,Snake__suborder,free_topic,3,43
8,Ath-582c_57_snake-34,snake,Snake#suborder,conj>,bird,NOUN,36,conj> bird,-0.5169261309183265,-0.0018161520612065551,Snake__suborder,free_topic,3,43
6,Boa-7d46_10_Boa-33,Boa,Boa_genus#genus,conj>,Boa,PROPN,36,conj> ...,-0.19420950727869082,0.32858181050095864,Snake__suborder,free_topic,3,43
10,Bot0c2b_3_snake-8,snake,Snake#suborder,conj>,reason,NOUN,12,conj> ...,-0.44097438168117525,0.019802473222711003,Snake__suborder,free_topic,3,43
10,Bota3e6_3_snakes-10,snakes,Snake#suborder,conj>,one,NUM,13,conj> ...,-0.399098772055319,0.14487228082840925,Snake__suborder,free_topic,3,43
7,Bra-a43d_56_Snakes-11,Snakes,Snake#suborder,conj>,reptile,NOUN,14,conj> ...,-0.3699464163726911,0.28247017611080455,Snake__suborder,free_topic,3,43
7,But-d525_78_snake-7,snake,Snake#suborder,compound<nmod>case>,of,ADP,11,compound<nmod>case> of,0.5924285159588449,-0.03420925363961036,Snake__suborder,free_topic,3,43
5,But-d525_82_snake-4,snake,Snake#suborder,compound<nmod>case>,of,ADP,8,compound<nmod>case> of,0.5924285159588449,-0.03420925363961036,Snake__suborder,free_topic,3,43
6,But-d525_84_snake-4,snake,Snake#suborder,compound<nmod>case>,of,ADP,11,compound<nmod>case> of,0.5924285159588449,-0.03420925363961036,Snake__suborder,free_topic,3,43
8,Com305f_7_snake-8,snake,Snake#suborder,conj>,hedgehog,NOUN,10,conj> ...,-0.5089012827752236,0.12161642391014005,Snake__suborder,free_topic,3,43
8,Cro-5646_159_snake-21,snake,Snake#suborder,compound<nmod>case>,about,ADP,29,compound<nmod>case> ...,0.3471108597789513,0.04143543978839802,Snake__suborder,free_topic,3,43
