,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Boi-9f0e_74_Mangrove-5,Mangrove,Rhizophora#genus,compound<,snake,PROPN,6,compound< snake,0.23902689997035204,-0.31200270939847335,Snake__suborder,location_comment,1,12
3,Boi-9f0e_38_mangrove-8,mangrove,Mangrove#habitat,compound<,snake,NOUN,9,compound< snake,0.23902689997035204,-0.31200270939847335,Snake__suborder,location_comment,1,12
2,Bur-98f9_55_marsh-3,marsh,Marsh#habitat,compound<,environment,NOUN,4,compound< ...,0.2525752344204162,-0.4007936822240018,Snake__suborder,location_comment,1,12
5,Bur-98f9_77_rainforest-6,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<,dweller,NOUN,7,compound< ...,0.31076195122443884,-0.3341968249996425,Snake__suborder,location_comment,1,12
1,Boi-e3d6_12_mangrove-43,mangrove,Mangrove#habitat,compound<,snake,NOUN,44,compound< snake,0.23902689997035204,-0.31200270939847335,Snake__suborder,location_comment,1,12
9,Sna-dfa9_415_Rainforest-32,Rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<,region,NOUN,33,compound< ...,0.37109739463341695,-0.4987635167284528,Snake__suborder,location_comment,1,12
4,Rai-7e47_53_rainforest-11,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<,canopy,NOUN,12,compound< canopy,0.21294016402751492,-0.32148337561339924,Snake__suborder,location_comment,1,12
5,Rai-7e47_41_rainforest-13,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<,canopy,NOUN,14,compound< canopy,0.21294016402751492,-0.32148337561339924,Snake__suborder,location_comment,1,12
3,San-6e1f_39_desert-14,desert,Deserts_and_xeric_shrublands#habitat,compound<,climate,NOUN,15,compound< ...,0.2849539297406077,-0.4646853814723731,Snake__suborder,location_comment,1,12
2,San-6e1f_14_desert-11,desert,Deserts_and_xeric_shrublands#habitat,compound<,Nota,PROPN,14,compound< ...,0.199139643328404,-0.2681999597299507,Snake__suborder,location_comment,1,12
5,Sna-dfa9_251_mangrove-10,mangrove,Mangrove#habitat,compound<,snake,NOUN,11,compound< snake,0.23902689997035204,-0.31200270939847335,Snake__suborder,location_comment,1,12
3,Sto-c148_138_farmlands-16,farmlands,Arable_land#habitat,conj<case>,include,VERB,11,conj<case> include,-0.2358699305918937,0.457774956015647,Snake__suborder,location_comment,1,12
4,Sto-c148_138_farmlands-16,farmlands,Arable_land#habitat,conj<,forests,NOUN,12,conj< forests,-0.26489257323435805,0.26926079615558113,Snake__suborder,location_comment,1,12
5,Sto-c148_138_farmlands-16,farmlands,Arable_land#habitat,conj<conj>,city,NOUN,14,conj<conj> city,-0.2769314556939159,-0.15293262927702506,Snake__suborder,location_comment,1,12
8,Sto-c148_138_farmlands-16,farmlands,Arable_land#habitat,conj<conj>,wetland,NOUN,20,conj<conj> ...,-0.19052601678436182,-0.2409017516421837,Snake__suborder,location_comment,1,12
6,Add-f0f0_72_wetlands-22,wetlands,Wetland#habitat,case>,in,ADP,18,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
10,Add-f0f0_72_wetlands-22,wetlands,Wetland#habitat,conj>cc>,or,CCONJ,23,conj>cc> or,0.5221824826263659,0.22327659357434393,Snake__suborder,location_comment,2,13
6,Ame-c3c3_39_rainforests-9,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,8,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
8,Boa-7d46_54_rainforests-14,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,from,ADP,12,case> ...,-0.659590877776599,0.2370480250284988,Snake__suborder,location_comment,2,13
4,Boa-7d46_56_rivers-8,rivers,River#habitat,case>,in,ADP,5,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
7,Boa-7d46_56_rivers-8,rivers,River#habitat,conj>cc>,and,CCONJ,9,conj>cc> and,0.5102821872640344,0.28823191276061755,Snake__suborder,location_comment,2,13
7,Moo-69c5_28_moorlands-9,moorlands,Moorland#habitat,case>,in,ADP,8,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
3,Moo-69c5_25_moorlands-5,moorlands,Moorland#habitat,case>,in,ADP,4,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
1,Moo-69c5_32_moorland-3,moorland,Moorland#habitat,case>,of,ADP,2,case> of,-0.6832603114172401,0.183267738704173,Snake__suborder,location_comment,2,13
7,Gra-2e39_80_marshes-16,marshes,Marsh#habitat,case>,in,ADP,15,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
10,The6675_2_mountains-18,mountains,Mountain#habitat,case>,in,ADP,16,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
4,Dra-48f6_276_wetlands-26,wetlands,Wetland#habitat,case>,near,ADP,25,case> ...,-0.5949713631550254,0.245564445769108,Snake__suborder,location_comment,2,13
5,Rai-7e47_64_rainforests-16,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,15,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
4,Pri-2545_371_rainforests-7,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,5,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
5,Sho-489b_126_wetlands-9,wetlands,Wetland#habitat,case>,in,ADP,7,case> in,-0.6514279622842343,0.16433360910379902,Snake__suborder,location_comment,2,13
1,Ind-afd0_23_marshes-15,marshes,Marsh#habitat,conj<nmod<case>,in,ADP,3,conj<nmod<case> in,-0.29140739498960283,-0.06734692949360163,Snake__suborder,location_comment,0,12
6,Ind-afd0_23_marshes-15,marshes,Marsh#habitat,conj<case>,include,VERB,10,conj<case> include,-0.1820104321681567,0.22523380320249056,Snake__suborder,location_comment,0,12
1,Bur-98f9_54_forest-12,forest,Temperate_coniferous_forest#habitat,conj<amod>,leaf,VERB,3,conj<amod> ...,0.5682635601516706,0.10456519587536964,Snake__suborder,location_comment,0,12
1,Ind-afd0_23_swamps-13,swamps,Swamp#habitat,conj<nmod<case>,in,ADP,3,conj<nmod<case> in,-0.29140739498960283,-0.06734692949360163,Snake__suborder,location_comment,0,12
6,Ind-afd0_23_swamps-13,swamps,Swamp#habitat,conj<case>,include,VERB,10,conj<case> include,-0.1820104321681567,0.22523380320249056,Snake__suborder,location_comment,0,12
1,Moo-69c5_9_Moorland-1,Moorland,Moorland#habitat,nsubj<,bear,VERB,3,nsubj< ...,-0.35857294253707406,-0.02370794819536501,Snake__suborder,location_comment,0,12
0,Moo-69c5_6_Moorland-1,Moorland,Moorland#habitat,nsubj<,habitats,VERB,2,nsubj< ...,-0.4563033876825251,-0.12812438349770888,Snake__suborder,location_comment,0,12
0,Moo-69c5_50_Moorland-1,Moorland,Moorland#habitat,nsubj<,form,VERB,2,nsubj< ...,-0.4003017068141671,-0.27842606956505545,Snake__suborder,location_comment,0,12
1,Bot-5a32_69_forest-23,forest,Tropical_and_subtropical_coniferous_forests#habitat,conj<case>,in,ADP,14,conj<case> in,-0.3071028102644299,0.17380651723552482,Snake__suborder,location_comment,0,12
2,Bot-5a32_69_forest-23,forest,Tropical_and_subtropical_coniferous_forests#habitat,conj<amod>,drier,ADJ,15,conj<amod> ...,0.5722067107705857,0.18181455601723484,Snake__suborder,location_comment,0,12
10,Bot-5a32_69_forest-23,forest,Tropical_and_subtropical_coniferous_forests#habitat,conj<conj>compound>,pine,NOUN,25,conj<conj>compound> ...,0.2553704975430132,0.017176994827440274,Snake__suborder,location_comment,0,12
12,Bot-5a32_69_forest-23,forest,Tropical_and_subtropical_coniferous_forests#habitat,conj<nmod<case>,near,ADP,27,conj<nmod<case> ...,-0.3013074762744826,-0.08652124978345416,Snake__suborder,location_comment,0,12
1,Add-f0f0_71_lakes-23,lakes,Lake#habitat,conj<nmod<case>,on,ADP,17,conj<nmod<case> ...,-0.19588523468854846,-0.08530234991517757,Snake__suborder,location_comment,0,12
4,Add-f0f0_71_lakes-23,lakes,Lake#habitat,conj<case>,of,ADP,20,conj<case> ...,-0.2584313640634259,0.20682771568323047,Snake__suborder,location_comment,0,12
3,Yel-2b33_18_marshes-10,marshes,Marsh#habitat,conj<case>,include,VERB,7,conj<case> include,-0.1820104321681567,0.22523380320249056,Snake__suborder,location_comment,0,12
2,Tre-008a_17_rainforest-8,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<amod>,wide,ADJ,5,conj<amod> ...,0.5839853213010385,0.0895273901626664,Snake__suborder,location_comment,0,12
2,Sto-c148_162_marshes-11,marshes,Marsh#habitat,conj<case>,in,ADP,8,conj<case> in,-0.3071028102644299,0.17380651723552482,Snake__suborder,location_comment,0,12
3,Sto-c148_138_wetlands-20,wetlands,Wetland#habitat,conj<case>,include,VERB,11,conj<case> include,-0.1820104321681567,0.22523380320249056,Snake__suborder,location_comment,0,12
0,Add-f0f0_71_wetlands-5,wetlands,Wetland#habitat,obl<nsubj>,it,PRON,1,obl<nsubj> it,0.6350029601681814,-0.012812938309726974,Snake__suborder,location_comment,3,7
9,Cen-cfeb_61_swamps-18,swamps,Swamp#habitat,conj>cc>,and,CCONJ,22,conj>cc> and,0.46470901743621207,0.3781055625932638,Snake__suborder,location_comment,3,7
6,Cro-5646_351_rainforest-3,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,obl<nsubj>,occupy,NOUN,9,obl<nsubj> ...,0.5947052833220174,-0.10747158269090058,Snake__suborder,location_comment,3,7
3,Boa-7d46_55_rainforest-8,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,obl<mark>,to,PART,5,obl<mark> to,0.546838554684943,-0.015401296169424485,Snake__suborder,location_comment,3,7
13,Tri-5b33_81_hedgerows-14,hedgerows,hedge#habitat,conj>cc>,or,CCONJ,21,conj>cc> or,0.4390035910999703,0.38313188339126314,Snake__suborder,location_comment,3,7
7,Yel-2b33_18_swamps-8,swamps,Swamp#habitat,conj>cc>,and,CCONJ,12,conj>cc> and,0.46470901743621207,0.3781055625932638,Snake__suborder,location_comment,3,7
3,Bla-d6a7_8_reef-14,reef,Reef#habitat,obl<nsubj>,it,PRON,7,obl<nsubj> it,0.6350029601681814,-0.012812938309726974,Snake__suborder,location_comment,3,7
4,Boi-9f0e_2_mangrove-7,mangrove,Mangrove#habitat,compound<,snake,NOUN,8,compound< snake,0.32187254324397835,0.16328959214607972,Snake__suborder,location_comment,6,5
6,Moo-69c5_13_Heathland-1,Heathland,Heath_habitat#habitat,nsubj<,area,NOUN,8,nsubj< ...,-0.548619820251454,0.0892104080790642,Snake__suborder,location_comment,6,5
3,Tre-008a_18_rainforest-34,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<obl<,adapt,VERB,26,compound<obl< ...,-0.5066492178279514,-0.11122526829626322,Snake__suborder,location_comment,6,5
9,Tre-008a_18_rainforest-34,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound<,fragment,NOUN,35,compound< ...,0.45381979494788705,0.05974388381149895,Snake__suborder,location_comment,6,5
13,Bla-d6a7_13_reef-29,reef,Reef#habitat,nmod>case>,for,ADP,30,nmod>case> ...,-0.38844753036864443,0.18416738985158237,Snake__suborder,location_comment,6,5
5,Bla-d6a7_5_reef-6,reef,Reef#habitat,compound<,habitats,NOUN,7,compound< habitats,0.4504499539524257,0.2236086855370008,Snake__suborder,location_comment,6,5
5,Bot-5a32_69_forest-20,forest,Tropical_and_subtropical_coniferous_forests#habitat,amod>,tropical,ADJ,18,amod> tropical,0.27474960067759574,0.4694827607668153,Snake__suborder,location_comment,7,5
6,Bot-5a32_69_forest-20,forest,Tropical_and_subtropical_coniferous_forests#habitat,amod>,deciduous,ADJ,19,amod> ...,0.22188514459017156,0.5214050659126773,Snake__suborder,location_comment,7,5
7,Boia907_4_mangroves-23,mangroves,Mangrove#habitat,det>,the,DET,22,det> the,0.46046729022543903,-0.29555764954011443,Snake__suborder,location_comment,7,5
9,Yel-2b33_18_rivers-21,rivers,River#habitat,amod>,slow,ADJ,18,amod> ...,0.05527215273518416,0.3336414708073066,Snake__suborder,location_comment,7,5
10,Yel-2b33_18_rivers-21,rivers,River#habitat,amod>,move,VERB,20,amod> ...,0.08064237981622505,0.49433222994155923,Snake__suborder,location_comment,7,5
11,Yel-2b33_18_rivers-21,rivers,River#habitat,conj>cc>,and,CCONJ,22,conj>cc> and,0.4591535217281716,-0.37540961206834234,Snake__suborder,location_comment,7,5
9,Bla-d6a7_12_reef-12,reef,Reef#habitat,det>,a,DET,11,det> ...,0.4528729372706584,-0.21733405376458265,Snake__suborder,location_comment,7,5
11,Pri-2545_373_rainforests-20,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,19,amod> tropical,0.27474960067759574,0.4694827607668153,Snake__suborder,location_comment,7,5
