,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod> ...,0,0.064,4,77,Snake__suborder,adaptation_topic
1,amod> Burmese,0,0.007,1,77,Snake__suborder,adaptation_topic
2,amod> african,0,0.05,2,77,Snake__suborder,adaptation_topic
3,amod> black,0,0.003,1,77,Snake__suborder,adaptation_topic
13,appos> ...,0,0.003,1,77,Snake__suborder,adaptation_topic
26,compound> amethystine,0,0.021,1,77,Snake__suborder,adaptation_topic
31,compound> rock,0,0.032,2,77,Snake__suborder,adaptation_topic
33,conj< ...,0,0.046,4,77,Snake__suborder,adaptation_topic
40,conj<case> ...,0,0.012,1,77,Snake__suborder,adaptation_topic
41,conj<case> by,0,0.021,1,77,Snake__suborder,adaptation_topic
44,conj<conj> ...,0,0.055,5,77,Snake__suborder,adaptation_topic
52,conj<conj> mammal,0,0.06,2,77,Snake__suborder,adaptation_topic
53,conj<conj>advmod> ...,0,0.03,1,77,Snake__suborder,adaptation_topic
54,conj<conj>advmod> sometimes,0,0.021,1,77,Snake__suborder,adaptation_topic
55,conj<conj>amod> ...,0,-0.003,1,77,Snake__suborder,adaptation_topic
61,conj<conj>cc> ...,0,0.03,1,77,Snake__suborder,adaptation_topic
62,conj<conj>cc> and,0,0.085,4,77,Snake__suborder,adaptation_topic
63,conj<conj>cc> or,0,0.021,1,77,Snake__suborder,adaptation_topic
67,conj<conj>nmod> shrews,0,0.06,2,77,Snake__suborder,adaptation_topic
77,conj<nsubj> ...,0,0.05,2,77,Snake__suborder,adaptation_topic
81,conj<obl< ...,0,0.042,2,77,Snake__suborder,adaptation_topic
83,conj<obl<advmod> sometimes,0,0.021,1,77,Snake__suborder,adaptation_topic
84,conj<obl<aux:pass> be,0,0.016,1,77,Snake__suborder,adaptation_topic
98,det> the,0,-0.011,2,77,Snake__suborder,adaptation_topic
126,nmod> ...,0,0.012,1,77,Snake__suborder,adaptation_topic
127,nmod> snake,0,0.06,2,77,Snake__suborder,adaptation_topic
128,nmod>case> ...,0,0.012,1,77,Snake__suborder,adaptation_topic
129,nmod>case> such,0,0.06,2,77,Snake__suborder,adaptation_topic
131,nmod>compound> grass,0,0.06,2,77,Snake__suborder,adaptation_topic
132,nmod>det> the,0,0.037,2,77,Snake__suborder,adaptation_topic
133,nsubj:pass< ...,0,0.03,1,77,Snake__suborder,adaptation_topic
134,nsubj:pass< find,0,0.06,2,77,Snake__suborder,adaptation_topic
135,nsubj:pass<aux:pass> be,0,0.091,3,77,Snake__suborder,adaptation_topic
136,nsubj:pass<obl> ...,0,0.091,3,77,Snake__suborder,adaptation_topic
137,nsubj:pass<obl>case> ...,0,0.091,3,77,Snake__suborder,adaptation_topic
138,nsubj< ...,0,-0.011,1,77,Snake__suborder,adaptation_topic
139,nsubj< have,0,0.012,1,77,Snake__suborder,adaptation_topic
144,nsubj<advcl> lay,0,0.021,1,77,Snake__suborder,adaptation_topic
149,nsubj<advcl>obl> ...,0,0.037,2,77,Snake__suborder,adaptation_topic
156,nsubj<cop> be,0,0.002,1,77,Snake__suborder,adaptation_topic
