,feat,cluster,pw_entr,feat_n,N,group,relrole
5,amod> ...,0,0.025,5,136,Snake__suborder,location_topic
6,amod> Burmese,0,-0.006,1,136,Snake__suborder,location_topic
10,amod> indian,0,0.002,1,136,Snake__suborder,location_topic
11,amod> large,0,0.009,1,136,Snake__suborder,location_topic
13,amod> yellow,0,-0.0,1,136,Snake__suborder,location_topic
15,amod>amod> ...,0,0.014,1,136,Snake__suborder,location_topic
17,appos< ...,0,0.022,2,136,Snake__suborder,location_topic
18,appos<det> the,0,0.022,2,136,Snake__suborder,location_topic
24,case> ...,0,0.01,2,136,Snake__suborder,location_topic
28,case> than,0,0.009,1,136,Snake__suborder,location_topic
31,cc> ...,0,0.014,1,136,Snake__suborder,location_topic
32,cc> and,0,0.009,1,136,Snake__suborder,location_topic
33,compound< ...,0,-0.001,1,136,Snake__suborder,location_topic
34,compound< Boiga,0,0.042,3,136,Snake__suborder,location_topic
36,compound< snake,0,0.006,1,136,Snake__suborder,location_topic
41,compound<compound> ...,0,0.006,1,136,Snake__suborder,location_topic
43,compound<det> ...,0,0.014,1,136,Snake__suborder,location_topic
49,compound<obj< ...,0,0.004,1,136,Snake__suborder,location_topic
50,compound<obj<obl> ...,0,0.022,2,136,Snake__suborder,location_topic
51,compound> ...,0,0.018,5,136,Snake__suborder,location_topic
55,compound> Fer,0,0.006,1,136,Snake__suborder,location_topic
57,compound> boa,0,-0.002,1,136,Snake__suborder,location_topic
58,compound> cat,0,0.036,4,136,Snake__suborder,location_topic
59,compound> grass,0,0.008,2,136,Snake__suborder,location_topic
60,compound> mangrove,0,0.036,3,136,Snake__suborder,location_topic
61,compound> rock,0,0.003,2,136,Snake__suborder,location_topic
62,compound>amod> Central,0,0.028,2,136,Snake__suborder,location_topic
63,compound>amod> african,0,0.012,2,136,Snake__suborder,location_topic
64,conj< ...,0,0.036,4,136,Snake__suborder,location_topic
65,conj< snake,0,0.006,1,136,Snake__suborder,location_topic
