,feat,cluster,pw_entr,feat_n,N,group,relrole
20,advmod> ...,0,0.028,2,115,Snake__suborder,taxongroup_comment
21,amod> ...,0,-0.009,1,115,Snake__suborder,taxongroup_comment
29,amod> other,0,0.009,1,115,Snake__suborder,taxongroup_comment
38,appos< ...,0,0.03,2,115,Snake__suborder,taxongroup_comment
39,appos< Hydrophiinae,0,0.019,1,115,Snake__suborder,taxongroup_comment
40,appos< snake,0,0.074,3,115,Snake__suborder,taxongroup_comment
41,appos<amod> ...,0,0.067,3,115,Snake__suborder,taxongroup_comment
42,appos<appos> Micrurinae,0,0.019,1,115,Snake__suborder,taxongroup_comment
43,appos<appos> snake,0,0.019,1,115,Snake__suborder,taxongroup_comment
44,appos<case> ...,0,0.042,2,115,Snake__suborder,taxongroup_comment
45,appos<case> in,0,0.019,1,115,Snake__suborder,taxongroup_comment
47,appos<compound> grass,0,0.074,3,115,Snake__suborder,taxongroup_comment
48,appos<conj<conj> Acanthophiinae,0,0.019,1,115,Snake__suborder,taxongroup_comment
49,appos<conj<conj> Laticaudina,0,0.019,1,115,Snake__suborder,taxongroup_comment
51,appos<det> the,0,0.085,4,115,Snake__suborder,taxongroup_comment
52,appos> ...,0,0.083,6,115,Snake__suborder,taxongroup_comment
54,appos> ecology,0,0.099,4,115,Snake__suborder,taxongroup_comment
56,appos>amod> ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
58,appos>appos> ...,0,0.067,3,115,Snake__suborder,taxongroup_comment
62,case> 's,0,0.008,1,115,Snake__suborder,taxongroup_comment
63,case> ...,0,0.018,2,115,Snake__suborder,taxongroup_comment
68,case> of,0,-0.003,1,115,Snake__suborder,taxongroup_comment
75,cc> and,0,-0.0,1,115,Snake__suborder,taxongroup_comment
77,compound< ...,0,0.056,3,115,Snake__suborder,taxongroup_comment
78,compound< Mythology,0,0.049,2,115,Snake__suborder,taxongroup_comment
79,compound< ecology,0,0.074,3,115,Snake__suborder,taxongroup_comment
83,compound<appos> ...,0,0.116,5,115,Snake__suborder,taxongroup_comment
93,compound> ...,0,0.043,4,115,Snake__suborder,taxongroup_comment
96,compound> grass,0,0.382,24,115,Snake__suborder,taxongroup_comment
99,compound> sea,0,0.008,2,115,Snake__suborder,taxongroup_comment
103,conj< ...,0,0.001,1,115,Snake__suborder,taxongroup_comment
105,conj< name,0,0.015,1,115,Snake__suborder,taxongroup_comment
111,conj<amod> ...,0,0.004,1,115,Snake__suborder,taxongroup_comment
164,conj<det> the,0,0.004,1,115,Snake__suborder,taxongroup_comment
194,conj<obj< ...,0,0.033,2,115,Snake__suborder,taxongroup_comment
196,conj<obj<advmod> also,0,0.019,1,115,Snake__suborder,taxongroup_comment
197,conj<obj<nsubj> ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
198,conj<obj<nsubj> python,0,0.019,1,115,Snake__suborder,taxongroup_comment
239,det> the,0,-0.008,1,115,Snake__suborder,taxongroup_comment
241,flat> ...,0,0.025,1,115,Snake__suborder,taxongroup_comment
242,flat> helvetica,0,0.015,1,115,Snake__suborder,taxongroup_comment
243,nmod:poss< ...,0,0.008,1,115,Snake__suborder,taxongroup_comment
244,nmod:poss<amod> ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
252,nmod< species,0,0.009,1,115,Snake__suborder,taxongroup_comment
271,nmod<nsubj:pass< ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
272,nmod<nsubj:pass<aux:pass> be,0,0.015,1,115,Snake__suborder,taxongroup_comment
273,nmod<nsubj:pass<obl> ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
287,nmod<nummod> one,0,0.019,1,115,Snake__suborder,taxongroup_comment
401,obj< kill,0,0.019,1,115,Snake__suborder,taxongroup_comment
411,obl< ...,0,0.001,1,115,Snake__suborder,taxongroup_comment
429,obl<mark> ...,0,0.015,1,115,Snake__suborder,taxongroup_comment
433,obl<nsubj> ...,0,0.011,1,115,Snake__suborder,taxongroup_comment
435,parataxis> ...,0,0.061,3,115,Snake__suborder,taxongroup_comment
444,acl> ...,1,0.0,1,393,Snake__suborder,taxongroup_comment
446,acl>obl> ...,1,-0.001,1,393,Snake__suborder,taxongroup_comment
448,acl>obl>case> in,1,0.002,1,393,Snake__suborder,taxongroup_comment
449,acl>obl>compound> ...,1,0.001,1,393,Snake__suborder,taxongroup_comment
451,acl>obl>det> the,1,0.001,1,393,Snake__suborder,taxongroup_comment
452,acl>obl>nmod> ...,1,0.001,1,393,Snake__suborder,taxongroup_comment
453,advcl> ...,1,0.001,1,393,Snake__suborder,taxongroup_comment
455,advcl>mark> although,1,0.001,1,393,Snake__suborder,taxongroup_comment
456,advmod> ...,1,-0.001,1,393,Snake__suborder,taxongroup_comment
457,amod> ...,1,0.03,19,393,Snake__suborder,taxongroup_comment
461,amod> large,1,0.008,3,393,Snake__suborder,taxongroup_comment
462,amod> largest,1,0.001,1,393,Snake__suborder,taxongroup_comment
463,amod> most,1,0.001,1,393,Snake__suborder,taxongroup_comment
464,amod> non-venomous,1,0.005,2,393,Snake__suborder,taxongroup_comment
465,amod> other,1,0.003,2,393,Snake__suborder,taxongroup_comment
