token	relrole	arcpath	lemma	upos	widx	token
Add-f0f0_101_hibernation-14	adaptation_comment	obl<conj<nummod>	15	NUM	2	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<conj<	%	SYM	3	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<conj<nmod>	adult	NOUN	5	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<cc>	and	CCONJ	6	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<nsubj>nummod>	40	NUM	8	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<nsubj>	%	SYM	9	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<nsubj>nmod>	juvenile	NOUN	11	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	obl<	die	VERB	12	Add-f0f0_101_hibernation-14
Add-f0f0_101_hibernation-14	adaptation_comment	case>	during	ADP	13	Add-f0f0_101_hibernation-14
Add-f0f0_99_hibernation-4	adaptation_comment	case>	in	ADP	1	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	amod>	northern	ADJ	2	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	compound>	Sweden	PROPN	3	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	obl<	last	VERB	5	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	obl<obl:tmod>nummod>	8	NUM	6	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	obl<obl:tmod>nummod>	9	NUM	8	Add-f0f0_99_hibernation-4
Add-f0f0_99_hibernation-4	adaptation_comment	obl<obl:tmod>	month	NOUN	9	Add-f0f0_99_hibernation-4
Cen-cfeb_81_care-9	adaptation_comment	nmod<obj<nsubj>	female	NOUN	2	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<obj<	show	VERB	3	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<det>	a	DET	4	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<amod>	surprising	ADJ	5	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<	level	NOUN	6	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	case>	of	ADP	7	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<obj<conj>	coil	VERB	11	Cen-cfeb_81_care-9
Cen-cfeb_81_care-9	adaptation_comment	nmod<obj<conj>	help	VERB	23	Cen-cfeb_81_care-9
Cro-5646_352_predators-3	adaptation_comment	amod>	other	ADJ	1	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	amod>	large	ADJ	2	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>nsubj>	that	PRON	4	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>aux>	may	AUX	5	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>	exploit	VERB	6	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obj>amod>	similar	ADJ	7	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obj>	prey	NOUN	8	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obl>case>	in	ADP	9	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obl>det>	the	DET	10	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obl>amod>	same	ADJ	11	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obl>amod>	forested	VERB	12	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	acl:relcl>obl>	habitat	NOUN	13	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<	include	VERB	14	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>	leopard	NOUN	15	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>appos>	pardus	NOUN	18	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	cat	NOUN	23	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	crocodile	NOUN	30	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	crocodile	NOUN	37	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>nmod>	tetraspis	NOUN	40	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	python	NOUN	45	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	chimpanzee	NOUN	51	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	monkey	NOUN	54	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	mandrill	NOUN	57	Cro-5646_352_predators-3
Cro-5646_352_predators-3	adaptation_comment	nsubj<obj>conj>	baboon	NOUN	59	Cro-5646_352_predators-3
Toq-9767_66_predators-16	adaptation_comment	nsubj>amod>	wild	ADJ	1	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>	cat	NOUN	2	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>appos>	leopard	NOUN	4	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>appos>conj>	cat	NOUN	7	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>conj>cc>	and	CCONJ	9	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>conj>amod>	indian	ADJ	10	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>conj>compound>	rock	NOUN	11	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nsubj>conj>	python	NOUN	12	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	cop>	be	AUX	13	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	det>	the	DET	14	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	amod>	main	ADJ	15	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nmod>case>	of	ADP	17	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nmod>det>	this	DET	18	Toq-9767_66_predators-16
Toq-9767_66_predators-16	adaptation_comment	nmod>	species	NOUN	19	Toq-9767_66_predators-16
Cen-cfeb_81_predators-19	adaptation_comment	obl<conj<conj<	show	VERB	3	Cen-cfeb_81_predators-19
Cen-cfeb_81_predators-19	adaptation_comment	obl<conj<	coil	VERB	11	Cen-cfeb_81_predators-19
Cen-cfeb_81_predators-19	adaptation_comment	obl<conj<obl>	egg	NOUN	14	Cen-cfeb_81_predators-19
Cen-cfeb_81_predators-19	adaptation_comment	obl<	protect	VERB	16	Cen-cfeb_81_predators-19
Cen-cfeb_81_predators-19	adaptation_comment	obl<obj>	they	PRON	17	Cen-cfeb_81_predators-19
Cen-cfeb_81_predators-19	adaptation_comment	case>	from	ADP	18	Cen-cfeb_81_predators-19
Tho-fdaf_54_predators-22	adaptation_comment	obj<xcomp<advcl<	stotting	VERB	15	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	obj<xcomp<	use	VERB	19	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	obj<mark>	to	PART	20	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	obj<	startle	VERB	21	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	conj>cc>	and	CCONJ	23	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	conj>compound>	display	NOUN	24	Tho-fdaf_54_predators-22
Tho-fdaf_54_predators-22	adaptation_comment	conj>	strength	NOUN	25	Tho-fdaf_54_predators-22
Nil-600c_359_predator-3	adaptation_comment	nsubj<advmod>	perhaps	ADV	1	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	det>	no	DET	2	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<cop>	be	AUX	4	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<advmod>	more	ADV	5	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<	deadly	ADJ	6	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<obl>case>	to	ADP	7	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<obl>amod>	yoing	ADJ	8	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<obl>compound>	Nile	PROPN	9	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<obl>	crocodile	NOUN	10	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<obl>nmod>	crocodile	NOUN	13	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<conj>advmod>	as	ADV	19	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<conj>obl>	crocodilian	NOUN	23	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<conj>nsubj>	they	PRON	25	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<conj>cop>	be	AUX	26	Nil-600c_359_predator-3
Nil-600c_359_predator-3	adaptation_comment	nsubj<conj>	cannibalistic	ADJ	27	Nil-600c_359_predator-3
Tho-fdaf_52_predators-28	adaptation_comment	obl<acl:relcl<appos<	km/h	NOUN	12	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<acl:relcl<det>	a	DET	21	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<acl:relcl<	adaptation	NOUN	22	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<nsubj>	which	PRON	23	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<advmod>	often	ADV	24	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<	save	VERB	25	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	obl<obj>	it	PRON	26	Tho-fdaf_52_predators-28
Tho-fdaf_52_predators-28	adaptation_comment	case>	from	ADP	27	Tho-fdaf_52_predators-28
Toq-9767_65_Predators-5	adaptation_comment	appos<	behaviour	NOUN	1	Toq-9767_65_Predators-5
Toq-9767_65_Predators-5	adaptation_comment	appos<conj>cc>	and	CCONJ	2	Toq-9767_65_Predators-5
Toq-9767_65_Predators-5	adaptation_comment	appos<conj>	ecology	NOUN	3	Toq-9767_65_Predators-5
Pyt5f76_3_Predator-1	adaptation_comment	conj>cc>	or	CCONJ	2	Pyt5f76_3_Predator-1
Pyt5f76_3_Predator-1	adaptation_comment	conj>	prey	NOUN	3	Pyt5f76_3_Predator-1
Yel-3ea8_51_predators-18	adaptation_comment	obj<xcomp<xcomp<	unable	ADJ	14	Yel-3ea8_51_predators-18
Yel-3ea8_51_predators-18	adaptation_comment	obj<xcomp<mark>	to	PART	15	Yel-3ea8_51_predators-18
Yel-3ea8_51_predators-18	adaptation_comment	obj<xcomp<	observe	VERB	16	Yel-3ea8_51_predators-18
Yel-3ea8_51_predators-18	adaptation_comment	obj<	approach	VERB	17	Yel-3ea8_51_predators-18
Yel-3ea8_52_predators-5	adaptation_comment	obj<nsubj>det>	the	DET	1	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	obj<nsubj>	snake	NOUN	2	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	obj<aux>	can	AUX	3	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	obj<	deter	VERB	4	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	nmod>case>	such	ADJ	7	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	nmod>case>fixed>	as	ADP	8	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	nmod>amod>	larger	ADJ	9	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	nmod>	fish	NOUN	10	Yel-3ea8_52_predators-5
Yel-3ea8_52_predators-5	adaptation_comment	nmod>conj>	shark	NOUN	12	Yel-3ea8_52_predators-5
