feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj>det> the,0.935,0.001,0.764,0.027,4,Theropoda__suborder,adaptation_comment
xcomp< ...,0.907,0.002,0.846,0.008,6,Theropoda__suborder,adaptation_comment
obl<mark> ...,0.899,0.002,0.764,0.027,4,Theropoda__suborder,adaptation_comment
advcl<aux> have,0.895,0.003,0.845,0.008,3,Theropoda__suborder,adaptation_comment
det> a,0.89,0.003,0.683,0.062,32,Theropoda__suborder,adaptation_comment
conj< predator,0.888,0.003,0.764,0.027,5,Theropoda__suborder,adaptation_comment
amod> ...,0.884,0.004,0.826,0.011,50,Theropoda__suborder,adaptation_comment
amod> other,0.877,0.004,0.932,0.001,7,Theropoda__suborder,adaptation_comment
nsubj>det> ...,0.866,0.005,0.577,0.134,1,Theropoda__suborder,adaptation_comment
nmod<conj> ...,0.853,0.007,0.109,0.797,11,Theropoda__suborder,adaptation_comment
conj> ...,0.852,0.007,0.651,0.081,23,Theropoda__suborder,adaptation_comment
advmod> probably,0.852,0.007,0.866,0.005,4,Theropoda__suborder,adaptation_comment
conj< ...,0.844,0.008,0.274,0.512,19,Theropoda__suborder,adaptation_comment
conj>cc> and,0.839,0.009,0.674,0.067,14,Theropoda__suborder,adaptation_comment
conj> scavenger,0.809,0.015,0.655,0.078,5,Theropoda__suborder,adaptation_comment
cop> be,0.804,0.016,0.626,0.097,43,Theropoda__suborder,adaptation_comment
nmod> ...,0.804,0.016,0.552,0.156,33,Theropoda__suborder,adaptation_comment
nmod> Tarbosaurus,0.8,0.017,0.756,0.03,2,Theropoda__suborder,adaptation_comment
obl> tyrannosaurid,0.794,0.019,0.756,0.03,2,Theropoda__suborder,adaptation_comment
appos>compound> ...,0.793,0.019,0.764,0.027,3,Theropoda__suborder,adaptation_comment
obl<det> the,0.791,0.019,0.756,0.03,2,Theropoda__suborder,adaptation_comment
conj>cc> ...,0.788,0.02,0.577,0.134,2,Theropoda__suborder,adaptation_comment
nmod>case>fixed> as,0.784,0.021,0.655,0.078,6,Theropoda__suborder,adaptation_comment
cc> or,0.784,0.021,0.764,0.027,5,Theropoda__suborder,adaptation_comment
acl>obl>det> the,0.782,0.022,0.845,0.008,3,Theropoda__suborder,adaptation_comment
obl<advmod> ...,0.778,0.023,0.674,0.067,9,Theropoda__suborder,adaptation_comment
nmod>case> from,0.776,0.023,0.577,0.134,3,Theropoda__suborder,adaptation_comment
obl> ...,0.772,0.025,0.733,0.039,5,Theropoda__suborder,adaptation_comment
conj<conj> ...,0.771,0.025,0.327,0.429,12,Theropoda__suborder,adaptation_comment
nmod> Formation,0.767,0.026,0.756,0.03,2,Theropoda__suborder,adaptation_comment
advmod> ...,0.753,0.031,0.753,0.031,8,Theropoda__suborder,adaptation_comment
acl:relcl>nsubj> ...,0.751,0.032,0.756,0.03,2,Theropoda__suborder,adaptation_comment
obl<mark> to,0.749,0.033,0.577,0.134,3,Theropoda__suborder,adaptation_comment
obj<obl>case> ...,0.736,0.037,0.756,0.03,4,Theropoda__suborder,adaptation_comment
nmod>case> in,0.731,0.039,0.327,0.429,8,Theropoda__suborder,adaptation_comment
appos>nmod> ...,-0.73,0.04,-0.577,0.134,1,Theropoda__suborder,adaptation_comment
conj>cc> or,0.725,0.042,0.385,0.346,6,Theropoda__suborder,adaptation_comment
conj>nmod>amod> ...,0.724,0.042,0.577,0.134,2,Theropoda__suborder,adaptation_comment
ccomp<nsubj> ...,0.724,0.042,0.577,0.134,5,Theropoda__suborder,adaptation_comment
nmod>amod> ...,0.724,0.042,0.702,0.052,16,Theropoda__suborder,adaptation_comment
nsubj<mark> ...,0.721,0.044,0.577,0.134,1,Theropoda__suborder,adaptation_comment
conj>nmod>amod> large,0.72,0.044,0.577,0.134,2,Theropoda__suborder,adaptation_comment
obl<advmod> particularly,0.719,0.045,0.577,0.134,2,Theropoda__suborder,adaptation_comment
nsubj<obj>conj> ...,0.718,0.045,0.609,0.109,20,Theropoda__suborder,adaptation_comment
conj<case> as,0.709,0.049,0.577,0.134,2,Theropoda__suborder,adaptation_comment
amod<conj>amod> ...,0.708,0.049,0.577,0.134,4,Theropoda__suborder,adaptation_comment
compound<det> a,0.708,0.05,0.733,0.039,3,Theropoda__suborder,adaptation_comment
advmod> not,0.7,0.053,0.655,0.078,3,Theropoda__suborder,adaptation_comment
advcl>mark> while,0.7,0.053,0.756,0.03,2,Theropoda__suborder,adaptation_comment
advcl<aux> would,0.697,0.055,0.63,0.094,2,Theropoda__suborder,adaptation_comment
ccomp<nsubj> paleontologist,0.694,0.056,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj> sauropod,0.689,0.059,0.577,0.134,2,Theropoda__suborder,adaptation_comment
nsubj> tyrannosaurs,0.677,0.065,0.63,0.094,2,Theropoda__suborder,adaptation_comment
nsubj> carnivore,0.676,0.066,0.577,0.134,2,Theropoda__suborder,adaptation_comment
compound< ...,0.673,0.067,0.764,0.027,7,Theropoda__suborder,adaptation_comment
conj<amod> ...,0.671,0.069,0.109,0.797,5,Theropoda__suborder,adaptation_comment
nsubj> Tyrannosaurus,0.669,0.07,0.577,0.134,4,Theropoda__suborder,adaptation_comment
nmod<obl< ...,0.661,0.075,0.409,0.314,6,Theropoda__suborder,adaptation_comment
cc> ...,0.656,0.077,0.577,0.134,1,Theropoda__suborder,adaptation_comment
obl>amod> ...,0.652,0.08,0.63,0.094,2,Theropoda__suborder,adaptation_comment
amod>obl>case> ...,0.651,0.08,0.756,0.03,2,Theropoda__suborder,adaptation_comment
conj<amod> active,0.651,0.081,0.577,0.134,3,Theropoda__suborder,adaptation_comment
amod< dinosaur,0.65,0.081,0.756,0.03,2,Theropoda__suborder,adaptation_comment
obl>amod> most,0.649,0.082,0.63,0.094,2,Theropoda__suborder,adaptation_comment
conj<case> ...,0.647,0.083,0.577,0.134,4,Theropoda__suborder,adaptation_comment
nsubj> it,0.644,0.085,0.62,0.101,3,Theropoda__suborder,adaptation_comment
obj<advcl<advmod> ...,0.642,0.086,0.733,0.039,3,Theropoda__suborder,adaptation_comment
det> ...,0.635,0.091,0.63,0.094,2,Theropoda__suborder,adaptation_comment
nsubj<advcl< ...,0.634,0.091,0.674,0.067,4,Theropoda__suborder,adaptation_comment
compound< dinosaur,0.629,0.095,0.577,0.134,3,Theropoda__suborder,adaptation_comment
conj>nmod>case> of,0.621,0.101,0.577,0.134,4,Theropoda__suborder,adaptation_comment
advcl<obj>det> ...,0.62,0.101,0.577,0.134,1,Theropoda__suborder,adaptation_comment
amod> potential,0.617,0.103,0.192,0.648,4,Theropoda__suborder,adaptation_comment
nsubj<advcl<nsubj> this,-0.617,0.103,-0.756,0.03,2,Theropoda__suborder,adaptation_comment
nsubj< have,0.615,0.105,0.63,0.094,2,Theropoda__suborder,adaptation_comment
case> as,0.615,0.105,0.501,0.206,13,Theropoda__suborder,adaptation_comment
conj<ccomp< accept,0.614,0.106,0.577,0.134,2,Theropoda__suborder,adaptation_comment
cc> and,0.612,0.107,0.091,0.83,13,Theropoda__suborder,adaptation_comment
advcl<obj> trend,-0.611,0.108,-0.63,0.094,2,Theropoda__suborder,adaptation_comment
advcl>obl> ...,0.605,0.112,0.546,0.162,3,Theropoda__suborder,adaptation_comment
ccomp<nsubj>amod> most,0.603,0.114,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj>nmod>det> the,0.602,0.114,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod>det> a,0.601,0.115,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj>nmod> ...,0.6,0.116,0.577,0.134,6,Theropoda__suborder,adaptation_comment
conj<ccomp< ...,0.598,0.117,0.577,0.134,1,Theropoda__suborder,adaptation_comment
case> in,0.596,0.119,0.577,0.134,2,Theropoda__suborder,adaptation_comment
obl<obl>case> ...,0.594,0.12,0.436,0.28,4,Theropoda__suborder,adaptation_comment
nsubj<mark> as,0.592,0.122,0.63,0.094,2,Theropoda__suborder,adaptation_comment
ccomp<nsubj>amod> ...,0.589,0.125,0.577,0.134,1,Theropoda__suborder,adaptation_comment
nmod>det> the,0.588,0.126,0.674,0.067,12,Theropoda__suborder,adaptation_comment
conj<nmod< ...,0.586,0.127,0.436,0.28,5,Theropoda__suborder,adaptation_comment
amod<nmod>case> with,0.586,0.127,0.504,0.203,2,Theropoda__suborder,adaptation_comment
nmod>case> such,0.586,0.127,0.218,0.604,6,Theropoda__suborder,adaptation_comment
nmod>conj> ...,0.585,0.128,0.731,0.039,11,Theropoda__suborder,adaptation_comment
nsubj> Spinosaurus,0.584,0.129,0.63,0.094,2,Theropoda__suborder,adaptation_comment
obl< ...,0.583,0.129,0.451,0.263,19,Theropoda__suborder,adaptation_comment
obj<advcl< ...,0.583,0.13,0.784,0.021,4,Theropoda__suborder,adaptation_comment
nmod> specimen,0.581,0.131,0.378,0.356,2,Theropoda__suborder,adaptation_comment
nmod<obl<nsubj> ...,0.579,0.132,0.504,0.203,4,Theropoda__suborder,adaptation_comment
conj>nmod>case> ...,0.579,0.133,0.577,0.134,2,Theropoda__suborder,adaptation_comment
conj<case> to,0.576,0.135,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod:poss> they,0.573,0.138,0.436,0.28,3,Theropoda__suborder,adaptation_comment
det> the,0.571,0.139,0.54,0.167,31,Theropoda__suborder,adaptation_comment
amod<nmod< ...,0.571,0.139,0.592,0.122,3,Theropoda__suborder,adaptation_comment
compound<amod> ...,0.571,0.139,0.412,0.31,8,Theropoda__suborder,adaptation_comment
nsubj> ...,0.568,0.142,0.355,0.389,15,Theropoda__suborder,adaptation_comment
nmod< hand,0.565,0.144,0.577,0.134,2,Theropoda__suborder,adaptation_comment
amod> largest,0.564,0.146,0.682,0.062,6,Theropoda__suborder,adaptation_comment
nsubj> they,0.563,0.146,0.756,0.03,2,Theropoda__suborder,adaptation_comment
mark> if,0.559,0.149,0.592,0.122,3,Theropoda__suborder,adaptation_comment
obj<advcl<obl> ...,0.556,0.152,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod>case> of,0.555,0.154,0.217,0.606,15,Theropoda__suborder,adaptation_comment
conj>amod> ...,0.552,0.156,-0.082,0.847,9,Theropoda__suborder,adaptation_comment
obl<advcl>obl> ...,0.551,0.157,0.764,0.027,4,Theropoda__suborder,adaptation_comment
obl<nmod>det> the,0.546,0.162,0.655,0.078,3,Theropoda__suborder,adaptation_comment
acl:relcl> need,0.546,0.162,0.63,0.094,2,Theropoda__suborder,adaptation_comment
compound<obj< ...,0.545,0.163,0.577,0.134,3,Theropoda__suborder,adaptation_comment
nmod<case> with,0.539,0.168,0.514,0.192,3,Theropoda__suborder,adaptation_comment
nmod> time,0.539,0.168,0.577,0.134,3,Theropoda__suborder,adaptation_comment
conj>aux> ...,-0.537,0.17,-0.546,0.162,3,Theropoda__suborder,adaptation_comment
appos>nmod>det> the,0.536,0.171,0.436,0.28,3,Theropoda__suborder,adaptation_comment
obj<acl< ...,0.536,0.171,0.218,0.604,3,Theropoda__suborder,adaptation_comment
nmod>case> ...,0.534,0.173,0.218,0.604,4,Theropoda__suborder,adaptation_comment
case> of,0.531,0.176,0.503,0.204,12,Theropoda__suborder,adaptation_comment
nmod>nmod> ...,0.53,0.177,0.577,0.134,5,Theropoda__suborder,adaptation_comment
conj<nsubj> ...,0.53,0.177,0.577,0.134,5,Theropoda__suborder,adaptation_comment
amod> sexual,0.528,0.178,0.733,0.039,3,Theropoda__suborder,adaptation_comment
compound< trap,0.522,0.184,0.577,0.134,4,Theropoda__suborder,adaptation_comment
conj<conj>cc> ...,0.522,0.185,0.412,0.31,2,Theropoda__suborder,adaptation_comment
