,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,All-5aab_7_Allosaurus-7,Allosaurus,Allosaurus#genus,compound<case>,of,ADP,6,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
3,All475f_13_Allosaurus-7,Allosaurus,Allosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,All475f_13_Allosaurus-7,Allosaurus,Allosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Car8fa5_11_Carcharodontosaurus-7,Carcharodontosaurus,Carcharodontosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Car8fa5_11_Carcharodontosaurus-7,Carcharodontosaurus,Carcharodontosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Coe92c1_1_Coelophysis-7,Coelophysis,Coelophysis#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Coe92c1_1_Coelophysis-7,Coelophysis,Coelophysis#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
2,Dasa319_10_Daspletosaurus-4,Daspletosaurus,Daspletosaurus#genus,compound<case>,in,ADP,3,compound<case> in,0.18596462719821455,0.132715695777546,Theropoda__suborder,free_topic,2,16
3,Dasa319_20_Daspletosaurus-7,Daspletosaurus,Daspletosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Dasa319_20_Daspletosaurus-7,Daspletosaurus,Daspletosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Eur-bc75_165_raptor-10,raptor,Dromaeosauridae#family,compound<case>,for,ADP,7,compound<case> for,0.06502853028420588,0.13925890490280157,Theropoda__suborder,free_topic,2,16
4,Eur-bc75_165_raptor-10,raptor,Dromaeosauridae#family,compound<det>,a,DET,8,compound<det> a,-0.45891129948191633,-0.014783195353056416,Theropoda__suborder,free_topic,2,16
3,Fal-dc52_20_raptor-12,raptor,Dromaeosauridae#family,compound<case>,to,ADP,9,compound<case> to,0.12655498570170007,0.11240672701102253,Theropoda__suborder,free_topic,2,16
3,Maj2805_1_Majungasaurus-7,Majungasaurus,Majungasaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Maj2805_1_Majungasaurus-7,Majungasaurus,Majungasaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Not036b_11_Nothronychus-7,Nothronychus,Nothronychus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Not036b_11_Nothronychus-7,Nothronychus,Nothronychus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Sin8991_13_Sinornithosaurus-7,Sinornithosaurus,Sinornithosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Sin8991_13_Sinornithosaurus-7,Sinornithosaurus,Sinornithosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Spi026c_18_Spinosaurus-7,Spinosaurus,Spinosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Spi026c_18_Spinosaurus-7,Spinosaurus,Spinosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Tarea78_1_Tarbosaurus-7,Tarbosaurus,Tarbosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Tarea78_1_Tarbosaurus-7,Tarbosaurus,Tarbosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,The-2a4b_101_therizinosaur-20,therizinosaur,Therizinosauridae#family,compound<case>,as,ADP,17,compound<case> as,0.2517757093013745,0.14134160389140937,Theropoda__suborder,free_topic,2,16
4,The-2a4b_101_therizinosaur-20,therizinosaur,Therizinosauridae#family,compound<det>,a,DET,18,compound<det> a,-0.45891129948191633,-0.014783195353056416,Theropoda__suborder,free_topic,2,16
3,The319b_1_Therizinosaurus-7,Therizinosaurus,Therizinosaurus#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,The319b_1_Therizinosaurus-7,Therizinosaurus,Therizinosaurus#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
3,Vel4a5e_16_Velociraptors-7,Velociraptors,Velociraptor#genus,compound<case>,of,ADP,5,compound<case> of,0.24015782438751554,0.14602390799054593,Theropoda__suborder,free_topic,2,16
4,Vel4a5e_16_Velociraptors-7,Velociraptors,Velociraptor#genus,compound<det>,the,DET,6,compound<det> the,-0.42448697769652466,-0.091621559119578,Theropoda__suborder,free_topic,2,16
7,Arc-4c1c_131_Dromaeosauridae-15,Dromaeosauridae,Dromaeosauridae#family,obl<,similar,ADJ,10,obl< similar,0.6878019231917785,-0.15034407278603615,Theropoda__suborder,free_topic,0,50
6,Bar-78df_221_raptors-20,raptors,Dromaeosauridae#family,obl<,distribute,VERB,17,obl< ...,0.5795349832228991,-0.11072349360425707,Theropoda__suborder,free_topic,0,50
3,Bar-78df_223_raptors-13,raptors,Dromaeosauridae#family,obl<,numerous,ADJ,10,obl< ...,0.7278998421724103,-0.08737921054110859,Theropoda__suborder,free_topic,0,50
6,Bir-5aa1_82_raptors-27,raptors,Dromaeosauridae#family,obl<,kill,VERB,24,obl< ...,0.49761646758618827,-0.12511590768394,Theropoda__suborder,free_topic,0,50
5,But-d525_45_raptors-4,raptors,Dromaeosauridae#family,obl<,hatch,VERB,8,obl< ...,0.40343813275534535,-0.14106797301390128,Theropoda__suborder,free_topic,0,50
3,Car-eac4_24_Allosaurus-23,Allosaurus,Allosaurus#genus,obl<,closer,ADJ,17,obl< closer,0.5971020114221277,-0.18832447237625374,Theropoda__suborder,free_topic,0,50
3,Car-ed40_100_Carcharodontosaurus-11,Carcharodontosaurus,Carcharodontosaurus#genus,obl<,place,VERB,9,obl< place,0.6809845266282062,-0.11284148795589555,Theropoda__suborder,free_topic,0,50
3,Coe-519b_109_Coelophysis-6,Coelophysis,Coelophysis#genus,obl<,refer,VERB,4,obl< ...,0.6949534594616646,-0.0060038104909705126,Theropoda__suborder,free_topic,0,50
3,Com-a681_52_raptors-3,raptors,Dromaeosauridae#family,obl<,display,VERB,6,obl< ...,0.5203922775723416,-0.10783167591491633,Theropoda__suborder,free_topic,0,50
5,Com-f222_149_raptors-9,raptors,Dromaeosauridae#family,obl<,confused,ADJ,6,obl< ...,0.6994983010415937,-0.10466885684418918,Theropoda__suborder,free_topic,0,50
