,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Car-eac4_6_carcharodontosaurids-19,carcharodontosaurids,Carcharodontosauridae#family,det>,the,DET,17,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
5,Car-eac4_6_carcharodontosaurids-24,carcharodontosaurids,Carcharodontosauridae#family,det>,the,DET,22,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
13,Abe-4088_93_Abelisauridae-23,Abelisauridae,Abelisauridae#family,det>,the,DET,22,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
4,Car-ed40_10_dinosaurs-8,dinosaurs,Dinosaur#superorder,det>,the,DET,5,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
3,Car-ed40_107_dinosaurs-11,dinosaurs,Dinosaur#superorder,det>,the,DET,7,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
9,All-7078_44_dinosaur-13,dinosaur,Dinosaur#superorder,det>,a,DET,11,det> a,-0.7186972769306732,-0.19468641166512363,Theropoda__suborder,taxongroup_comment,3,50
9,Spi-06e4_101_dinosaur-14,dinosaur,Dinosaur#superorder,det>,the,DET,11,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
3,All-7078_6_dinosaurs-10,dinosaurs,Dinosaur#superorder,det>,the,DET,4,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
5,Maj-e024_2_dinosaurs-47,dinosaurs,Dinosaur#superorder,det>,the,DET,42,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
2,Tar-5191_198_tyrannosaur-5,tyrannosaur,Tyrannosauridae#family,det>,a,DET,3,det> a,-0.7186972769306732,-0.19468641166512363,Theropoda__suborder,taxongroup_comment,3,50
7,All-7078_401_dinosaurs-11,dinosaurs,Dinosaur#superorder,det>,the,DET,9,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
9,Car-ed40_147_dinosaur-17,dinosaur,Dinosaur#superorder,det>,a,DET,15,det> a,-0.7186972769306732,-0.19468641166512363,Theropoda__suborder,taxongroup_comment,3,50
12,Din-756f_431_dinosaurs-41,dinosaurs,Dinosaur#superorder,det>,all,DET,40,det> all,-0.7099167414294394,-0.14237615505033857,Theropoda__suborder,taxongroup_comment,3,50
6,Car-ed40_206_animal-8,animal,Animal#kingdom,det>,the,DET,7,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
6,Car-ed40_181_Carcharodontosauridae-9,Carcharodontosauridae,Carcharodontosauridae#family,det>,the,DET,7,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
4,Car-ed40_240_dinosaurs-9,dinosaurs,Dinosaur#superorder,det>,these,DET,8,det> these,-0.6973736357987934,-0.1999595122617292,Theropoda__suborder,taxongroup_comment,3,50
8,Coe-519b_216_dinosaurs-15,dinosaurs,Dinosaur#superorder,det>,the,DET,11,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
7,Coe-72ed_6_dinosaur-14,dinosaur,Dinosaur#superorder,det>,a,DET,13,det> a,-0.7186972769306732,-0.19468641166512363,Theropoda__suborder,taxongroup_comment,3,50
9,Coe-72ed_19_dinosaur-16,dinosaur,Dinosaur#superorder,det>,any,DET,15,det> any,-0.7109391269632823,-0.20648389405511947,Theropoda__suborder,taxongroup_comment,3,50
4,Tyr-70f1_314_animals-7,animals,Animal#kingdom,det>,the,DET,6,det> the,-0.7576646278058974,-0.18499114536677577,Theropoda__suborder,taxongroup_comment,3,50
