,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Car-eac4_2_lizards-16,lizards,Lizard#suborder,appos<compound>,Carcharodontosauridae,PROPN,1,appos<compound> ...,-0.23419787357438365,-0.06156710068296152,Theropoda__suborder,taxongroup_topic,2,7
4,Car-eac4_2_lizards-16,lizards,Lizard#suborder,amod>,tooth,VERB,15,amod> ...,-0.42752834744450385,-0.7428914818852628,Theropoda__suborder,taxongroup_topic,2,7
8,All-7078_342_Allosaurus-14,Allosaurus,Allosaurus#genus,conj>,theropod,NOUN,17,conj> theropod,-0.519662920114935,0.08452414397560523,Theropoda__suborder,taxongroup_topic,2,7
4,Sin-8696_2_lizard-17,lizard,Lizard#suborder,amod>,chinese,ADJ,14,amod> ...,-0.18125724333451967,-0.47148702667843256,Theropoda__suborder,taxongroup_topic,2,7
5,Tar-5191_107_Daspletosaurus-8,Daspletosaurus,Daspletosaurus#genus,amod>,earlier,ADJ,7,amod> ...,-0.40831824714652315,-0.7460499920152528,Theropoda__suborder,taxongroup_topic,2,7
1,Abe-4088_26_Majungasaurus-1,Majungasaurus,Majungasaurus#genus,conj>,Rajasaurus,PROPN,3,conj> ...,-0.4035400341037195,-0.009958182191482357,Theropoda__suborder,taxongroup_topic,2,7
6,Spi-06e4_169_Spinosaurus-5,Spinosaurus,Spinosaurus#genus,conj>,dinosaur,NOUN,8,conj> dinosaur,-0.521340765618037,0.09424222963354409,Theropoda__suborder,taxongroup_topic,2,7
3,Das-ed91_2_lizard-16,lizard,Lizard#suborder,amod>,frightful,ADJ,15,amod> ...,-0.20890332806496717,-0.697465342427716,Theropoda__suborder,taxongroup_topic,2,7
3,Not-3583_67_Nothronychus-32,Nothronychus,Nothronychus#genus,nmod<amod>,many,ADJ,29,nmod<amod> ...,0.050322047632318144,-0.2858218211399917,Theropoda__suborder,taxongroup_topic,6,58
5,The-f5b4_21_Tarbosaurus-23,Tarbosaurus,Tarbosaurus#genus,nmod<amod>,outmatch,ADJ,20,nmod<amod> ...,0.007918854832705732,-0.13262425452958937,Theropoda__suborder,taxongroup_topic,6,58
3,The-f5b4_229_Therizinosaurus-30,Therizinosaurus,Therizinosaurus#genus,nmod<amod>,diverse,ADJ,26,nmod<amod> ...,0.12278687080051594,-0.2824771783163792,Theropoda__suborder,taxongroup_topic,6,58
