,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,-0.001,1,245,Theropoda__suborder,adaptation_topic
2,acl:relcl>cop> be,0,0.002,1,245,Theropoda__suborder,adaptation_topic
5,acl:relcl>nsubj> which,0,0.002,1,245,Theropoda__suborder,adaptation_topic
9,amod> ...,0,-0.004,1,245,Theropoda__suborder,adaptation_topic
11,amod> large,0,0.0,1,245,Theropoda__suborder,adaptation_topic
13,amod> other,0,0.002,2,245,Theropoda__suborder,adaptation_topic
15,amod>advmod> ...,0,-0.002,1,245,Theropoda__suborder,adaptation_topic
16,appos< ...,0,0.01,3,245,Theropoda__suborder,adaptation_topic
18,appos<amod> ...,0,0.011,2,245,Theropoda__suborder,adaptation_topic
20,appos<conj<conj> ...,0,0.017,3,245,Theropoda__suborder,adaptation_topic
22,appos<det> the,0,0.004,1,245,Theropoda__suborder,adaptation_topic
30,appos<nsubj< ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
31,appos<nsubj<cop> be,0,0.002,1,245,Theropoda__suborder,adaptation_topic
32,appos<nsubj<det> a,0,0.002,1,245,Theropoda__suborder,adaptation_topic
39,case> ...,0,0.004,2,245,Theropoda__suborder,adaptation_topic
40,case> by,0,0.001,1,245,Theropoda__suborder,adaptation_topic
44,case> like,0,0.0,1,245,Theropoda__suborder,adaptation_topic
45,case> of,0,0.021,7,245,Theropoda__suborder,adaptation_topic
70,compound> Tyrannosaurus,0,0.014,2,245,Theropoda__suborder,adaptation_topic
72,compound> juvenile,0,0.002,1,245,Theropoda__suborder,adaptation_topic
73,compound> t.,0,0.021,3,245,Theropoda__suborder,adaptation_topic
120,det> a,0,-0.002,1,245,Theropoda__suborder,adaptation_topic
121,det> the,0,-0.005,1,245,Theropoda__suborder,adaptation_topic
122,nmod< ...,0,0.002,5,245,Theropoda__suborder,adaptation_topic
123,nmod< anatomy,0,0.004,1,245,Theropoda__suborder,adaptation_topic
124,nmod< cousin,0,0.004,1,245,Theropoda__suborder,adaptation_topic
126,nmod< theropod,0,0.004,1,245,Theropoda__suborder,adaptation_topic
129,nmod<amod> ...,0,-0.004,1,245,Theropoda__suborder,adaptation_topic
133,nmod<case> in,0,0.004,1,245,Theropoda__suborder,adaptation_topic
143,nmod<conj> ...,0,-0.003,1,245,Theropoda__suborder,adaptation_topic
145,nmod<conj>cc> and,0,0.002,1,245,Theropoda__suborder,adaptation_topic
147,nmod<det> the,0,0.017,5,245,Theropoda__suborder,adaptation_topic
158,nmod<nsubj< ...,0,0.019,4,245,Theropoda__suborder,adaptation_topic
161,nmod<nsubj<ccomp< ...,0,0.017,3,245,Theropoda__suborder,adaptation_topic
162,nmod<nsubj<cop> be,0,0.011,2,245,Theropoda__suborder,adaptation_topic
163,nmod<nsubj<mark> that,0,0.015,3,245,Theropoda__suborder,adaptation_topic
164,nmod<nsubj<obj> ...,0,0.011,2,245,Theropoda__suborder,adaptation_topic
165,nmod<obj< ...,0,0.006,2,245,Theropoda__suborder,adaptation_topic
166,nmod<obj<nsubj> ...,0,0.011,2,245,Theropoda__suborder,adaptation_topic
167,nmod> ...,0,0.008,4,245,Theropoda__suborder,adaptation_topic
168,nmod>case> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
169,nmod>case> in,0,0.008,2,245,Theropoda__suborder,adaptation_topic
170,nmod>case> like,0,0.004,1,245,Theropoda__suborder,adaptation_topic
173,nmod>compound> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
175,nmod>det> the,0,0.001,1,245,Theropoda__suborder,adaptation_topic
183,nsubj< ...,0,0.038,11,245,Theropoda__suborder,adaptation_topic
184,nsubj< have,0,0.015,3,245,Theropoda__suborder,adaptation_topic
185,nsubj< hunt,0,0.014,2,245,Theropoda__suborder,adaptation_topic
186,nsubj< predator,0,-0.001,2,245,Theropoda__suborder,adaptation_topic
188,nsubj<acl> ...,0,0.021,4,245,Theropoda__suborder,adaptation_topic
189,nsubj<acl>obl> ...,0,0.015,3,245,Theropoda__suborder,adaptation_topic
190,nsubj<advcl> ...,0,0.009,3,245,Theropoda__suborder,adaptation_topic
191,nsubj<advcl>mark> ...,0,0.005,2,245,Theropoda__suborder,adaptation_topic
192,nsubj<advcl>nsubj> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
194,nsubj<advcl>obl> ...,0,-0.0,1,245,Theropoda__suborder,adaptation_topic
195,nsubj<advmod> ...,0,0.019,6,245,Theropoda__suborder,adaptation_topic
196,nsubj<advmod> not,0,0.011,2,245,Theropoda__suborder,adaptation_topic
197,nsubj<amod> ...,0,0.001,2,245,Theropoda__suborder,adaptation_topic
199,nsubj<amod> largest,0,0.008,2,245,Theropoda__suborder,adaptation_topic
202,nsubj<aux> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
203,nsubj<aux> have,0,0.014,2,245,Theropoda__suborder,adaptation_topic
204,nsubj<aux> may,0,0.014,2,245,Theropoda__suborder,adaptation_topic
206,nsubj<case> at,0,0.002,1,245,Theropoda__suborder,adaptation_topic
208,nsubj<ccomp< find,0,0.014,2,245,Theropoda__suborder,adaptation_topic
209,nsubj<ccomp< indicate,0,0.014,2,245,Theropoda__suborder,adaptation_topic
210,nsubj<ccomp< suggest,0,0.012,3,245,Theropoda__suborder,adaptation_topic
211,nsubj<ccomp<advcl> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
212,nsubj<ccomp<advmod> ...,0,0.002,1,245,Theropoda__suborder,adaptation_topic
213,nsubj<ccomp<aux> ...,0,0.007,1,245,Theropoda__suborder,adaptation_topic
