token	relrole	arcpath	lemma	upos	widx	token
All-7078_15_predator-6	adaptation_comment	case>	as	ADP	1	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	det>	the	DET	2	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	amod>advmod>	most	ADV	3	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	amod>	abundant	ADJ	4	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	amod>	large	ADJ	5	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	nmod>case>	of	ADP	7	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	nmod>det>	the	DET	8	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	nmod>compound>	Morrison	PROPN	9	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	nmod>	Formation	PROPN	10	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<nsubj>	Allosaurus	PROPN	12	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<cop>	be	AUX	13	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<case>	at	ADP	14	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<det>	the	DET	15	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<	top	NOUN	16	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<nmod>case>	of	ADP	17	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<nmod>det>	the	DET	18	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<nmod>compound>	food	NOUN	19	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<nmod>	chain	NOUN	20	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<conj>cc>	and	CCONJ	21	All-7078_15_predator-6
All-7078_15_predator-6	adaptation_comment	obl<conj>advmod>	probably	ADV	22	All-7078_15_predator-6
