arcpath,weight,Df,Nf
amod>,1.3301,0.1013,4315
compound<list<flat>,0.921,0.008,247
nmod<,0.7804,0.0272,2163
nmod<conj>,0.7499,0.0097,342
nmod>conj>,0.734,0.0208,750
compound<list<list>,0.7004,0.0071,216
nmod>case>,0.6196,0.0394,1444
nmod>,0.5999,0.0385,1427
flat<flat>,0.5802,0.0104,409
nmod<det>,0.5575,0.0139,1262
flat<list>,0.4706,0.009,276
nmod<amod>,0.4529,0.0067,906
flat<list>compound>,0.3607,0.0066,203
nmod<nmod>case>,0.2835,0.0107,366
nmod<nmod>,0.2835,0.0104,358
nmod>conj>cc>,0.2634,0.0089,352
compound>,0.21,0.0369,1555
nmod<nsubj>,0.1892,0.0061,388
nmod<cop>,0.1868,0.0064,400
nmod>det>,0.1828,0.0145,534
